player_name,transfer_value
Valentino Livramento,"€35.00m
Last update: Dec 16, 2024"
Victor Bernth Kristiansen,N/a
Virgil van Dijk,"€28.00m
Last update: Dec 16, 2024"
Vitaliy Mykolenko,€28.00m
Vitaly Janelt,€22.00m
Wes Burns,€2.50m
Wesley Fofana,"€27.00m
Last update: Mar 18, 2025"
Wilfred Ndidi,"€18.00m
Last update: Dec 16, 2024"
Will Hughes,"€9.00m
Last update: Dec 16, 2024"
William Saliba,€80.00m
Wout Faes,€20.00m
Yankuba Minteh,"€30.00m
Last update: Mar 18, 2025"
Yasin Ayari,"€17.00m
Last update: Mar 18, 2025"
Yehor Yarmoliuk,"€12.00m
Last update: Dec 16, 2024"
Yoane Wissa,€30.00m
Youri Tielemans,€35.00m
Yukinari Sugawara,"€12.00m
Last update: Dec 16, 2024"
Yves Bissouma,"€28.00m
Last update: Mar 18, 2025"
Álex Moreno,€11.00m
İlkay Gündoğan,€7.00m
Łukasz Fabiański,€700k
